Entity,Label
Dursley,PERSON
four,CARDINAL
Privet Drive,PERSON
Dursley,PERSON
Grunnings,ORG
Dursley,PERSON
Dudley,PERSON
Dursleys,PERSON
Potters,PERSON
Potter,PERSON
Dursley,PERSON
2,CARDINAL
Harry Potter,PERSON
"the Philosophers Stone - J.K. Rowling 



",ORG
several years,DATE
Dursley,PERSON
Dursleys,PERSON
Potters,ORG
Dursleys,PERSON
Potters,PERSON
Dudley,PERSON
Dursley,PERSON
Tuesday,DATE
Dursley,PERSON
Dursley,PERSON
Dudley,PERSON
half past eight,DATE
Dursley,PERSON
Dursley,PERSON
Dudley,PERSON
Dudley,PERSON
Dursley,PERSON
number four,CARDINAL
first,ORDINAL
second,ORDINAL
Dursley,PERSON
Privet Drive,PERSON
Dursley,PERSON
Page,PERSON
3,CARDINAL
Harry Potter,PERSON
the Philosophers Stone - J.K. Rowling,ORG
Dursley,PERSON
"Privet 
Drive",PERSON
Dursley,PERSON
that day,DATE
Dursley,PERSON
Dursley,PERSON
Dursley,PERSON
a few minutes later,TIME
Dursley,PERSON
Grunnings,ORG
Dursley,PERSON
ninth,ORDINAL
nighttime,TIME
Dursley,PERSON
five,CARDINAL
Page,ORG
4,CARDINAL
Harry Potter,PERSON
the Philosophers Stone - J.K. Rowling,ORG
The Potters,WORK_OF_ART
Harry,PERSON
Dursley,PERSON
Potter,PERSON
Harry,PERSON
Harry,PERSON
Harvey,GPE
Harold,PERSON
Dursley,PERSON
5,CARDINAL
Harry Potter,PERSON
the Philosophers Stone - J.K. Rowling,ORG
afternoon,TIME
five o’clock,TIME
a few seconds,TIME
today,DATE
Dursley,PERSON
Dursley,PERSON
Muggle,PRODUCT
four,CARDINAL
that morning,TIME
Dursley,PERSON
Dursley,PERSON
6,CARDINAL
Harry Potter,PERSON
the Philosophers Stone - J.K. Rowling,ORG
Dursley,PERSON
normal day,DATE
Dudley,PERSON
Dursley,PERSON
Dudley,PERSON
evening,TIME
today,DATE
hundreds,CARDINAL
"Jim 
McGuffin",PERSON
tonight,TIME
Jim,PERSON
Ted,PERSON
today,DATE
Kent,PERSON
Yorkshire,PERSON
Dundee,ORG
yesterday,DATE
Bonfire Night,ORG
next week,DATE
a wet night,TIME
tonight,TIME
Dursley,PERSON
Britain,GPE
Potters,PERSON
7,CARDINAL
Harry Potter,PERSON
the Philosophers Stone - J.K. Rowling,ORG
Dursley,PERSON
two,CARDINAL
Petunia,GPE
Dursley,PERSON
Dursley,PERSON
today,DATE
Dursley,PERSON
Dursley,PERSON
Dudley,PERSON
Dursley,PERSON
Howard,PERSON
Nasty,PERSON
Dursley,PERSON
Dursley,PERSON
Dursley,PERSON
8,CARDINAL
Harry Potter,PERSON
the Philosophers Stone - J.K. Rowling,ORG
Privet Drive,FAC
Potters,PERSON
Dursleys,PERSON
Dursley,PERSON
Dursley,PERSON
Potters,PERSON
Dursley,PERSON
Petunia,GPE
Petunia,GPE
Dursley,PERSON
"Privet 
Drive",PRODUCT
two,CARDINAL
midnight,TIME
"Privet 
Drive",WORK_OF_ART
9,CARDINAL
Harry Potter,PERSON
the Philosophers Stone - J.K. Rowling,ORG
half,CARDINAL
Albus Dumbledore,WORK_OF_ART
Albus Dumbledore,ORG
Twelve,CARDINAL
two,CARDINAL
Dursley,PERSON
Dumbledore,PERSON
four,CARDINAL
McGonagall,PERSON
10,CARDINAL
Harry Potter,PERSON
the Philosophers Stone - J.K. Rowling,ORG
"all 
day",DATE
McGonagall,PERSON
All day,DATE
a dozen,CARDINAL
McGonagall,PERSON
Dursleys,PERSON
Kent,PERSON
Dedalus Diggle,PERSON
Dumbledore,ORG
"eleven 
years",DATE
McGonagall,PERSON
11,CARDINAL
Harry Potter,PERSON
the Philosophers Stone - J.K. Rowling,ORG
Muggle,LOC
Dumbledore,PERSON
the very day,DATE
Muggles,PERSON
Dumbledore,PERSON
Dumbledore,PERSON
Muggle,PRODUCT
McGonagall,PERSON
eleven years,DATE
Voldemort,PRODUCT
McGonagall,PERSON
Dumbledore,PERSON
two,CARDINAL
Voldemort,PRODUCT
McGonagall,PERSON
half,CARDINAL
half,CARDINAL
Voldemort,PRODUCT
12,CARDINAL
Harry Potter,PERSON
the Philosophers Stone - J.K. Rowling,ORG
Dumbledore,PERSON
Voldemort,PRODUCT
Madam Pomfrey,PERSON
McGonagall,PERSON
Dumbledore,PERSON
McGonagall,PERSON
"all 
day",DATE
Dumbledore,PERSON
Dumbledore,PERSON
Dumbledore,PERSON
"last 
night",TIME
Voldemort,PERSON
Godric’s Hollow,FAC
Potters,PERSON
Lily,PERSON
James Potter,PERSON
Dumbledore,PERSON
McGonagall,PERSON
Lily and James ...,WORK_OF_ART
Albus,GPE
Dumbledore,PERSON
13,CARDINAL
Harry Potter,PERSON
the Philosophers Stone - J.K. Rowling,ORG
McGonagall,PERSON
Harry,PERSON
Harry Potter,PERSON
Voldemort,PRODUCT
Dumbledore,PRODUCT
McGonagall,PERSON
Harry,PERSON
Dumbledore,PERSON
McGonagall,PERSON
Dumbledore,PERSON
twelve,CARDINAL
Dumbledore,PERSON
Hagrid,GPE
McGonagall,PERSON
Harry,PERSON
McGonagall,PERSON
14,CARDINAL
Harry Potter,PERSON
the Philosophers Stone -J.K.,ORG
four,CARDINAL
Dumbledore,PERSON
all day,DATE
two,CARDINAL
Harry Potter,PERSON
Dumbledore,PERSON
McGonagall,PERSON
Dumbledore,PERSON
today,DATE
Harry Potter Day,PERSON
Harry,PERSON
Dumbledore,PERSON
half,CARDINAL
McGonagall,PERSON
Dumbledore,PERSON
Harry,PERSON
Hagrid,GPE
Hagrid,GPE
15,CARDINAL
Harry Potter,PERSON
the Philosophers Stone - J.K. Rowling,ORG
Hagrid,GPE
Dumbledore,PERSON
McGonagall,PERSON
at least five,CARDINAL
Hagrid,GPE
Dumbledore,PERSON
Dumbledore,PERSON
Young Sirius Black,WORK_OF_ART
Muggles,PERSON
Bristol,ORG
16,CARDINAL
Harry Potter,PERSON
"the Philosophers Stone - J.K. Rowling 




",ORG
Dumbledore,PERSON
McGonagall,PERSON
McGonagall,PERSON
Dumbledore,PERSON
Dumbledore,PERSON
the London Underground,ORG
Hagrid,GPE
Dumbledore,PERSON
Harry,PERSON
Dursleys,PERSON
Hagrid,GPE
Harry,PERSON
Hagrid,GPE
McGonagall,PERSON
Hagrid,GPE
James,PERSON
Harry,PERSON
Hagrid,GPE
McGonagall,PERSON
Hagrid,GPE
Dumbledore,PERSON
Harry,PERSON
17,CARDINAL
Harry Potter,PERSON
the Philosophers Stone - J.K. Rowling,ORG
Harry’s,PERSON
two,CARDINAL
a full minute,TIME
three,CARDINAL
Hagrid,GPE
McGonagall,PERSON
Dumbledore,ORG
Dumbledore,PERSON
Hagrid,GPE
McGonagall,PERSON
Dumbledore,PERSON
Hagrid,GPE
the night,TIME
McGonagall,PERSON
Dumbledore,PERSON
McGonagall,PERSON
Dumbledore,PERSON
twelve,CARDINAL
Privet Drive,PERSON
four,CARDINAL
Harry,PERSON
Privet Drive,PERSON
18,CARDINAL
Harry Potter,PERSON
the Philosophers Stone - J.K. Rowling,ORG
Harry Potter,PERSON
One,CARDINAL
a few hours,TIME
Dursley,ORG
"the next 
few weeks",DATE
Dudley,PERSON
Harry Potter,PERSON
19,CARDINAL
Harry Potter,PERSON
the Philosophers Stone - J.K. Rowling,ORG
Nearly ten years,DATE
Dursleys,PERSON
Privet Drive,PERSON
four,CARDINAL
the night,TIME
Dursley,PERSON
Ten years ago,DATE
"Dudley 
Dursley",PERSON
first,ORDINAL
Harry Potter,PERSON
20,CARDINAL
Harry Potter,PERSON
the Philosophers Stone - J.K. Rowling,ORG
first,ORDINAL
"the 
day",DATE
Harry,PERSON
Harry,PERSON
Harry,PERSON
Harry,PERSON
Dudley,PERSON
Harry,PERSON
one,CARDINAL
Harry,PERSON
21,CARDINAL
Harry Potter,PERSON
the Philosophers Stone - J.K. Rowling,ORG
Dudley,PERSON
Dudley,PERSON
second,ORDINAL
Dudley,PERSON
Harry,PERSON
Dudley,PERSON
Dudley,PERSON
Harry,PERSON
Harry,PERSON
Harry,PERSON
Dudley’s,PERSON
Dudley,PERSON
about four,CARDINAL
Harry,PERSON
Scotch,NORP
Dudley,PERSON
Harry,PERSON
first,ORDINAL
Aunt Petunia,WORK_OF_ART
first,ORDINAL
Dursleys,PERSON
Uncle Vernon,PERSON
Harry,PERSON
morning,TIME
22,CARDINAL
Harry Potter,PERSON
the Philosophers Stone - J.K. Rowling,ORG
a week,DATE
Uncle Vernon,PERSON
Harry,PERSON
Harry,PERSON
Harry,PERSON
Dudley,PERSON
Dudley,PERSON
Uncle Vernon,PERSON
Dudley,PERSON
Harry,PERSON
Dudley,PERSON
Harry,PERSON
Dudley,PERSON
Thirty-six,CARDINAL
two less than last year,DATE
Mommy,PERSON
